TradeSignalId,Name,Symbol,OptionsChain,GoodParsedText,BidInitial,AskInitial,FinalLimitPrice,InstrumentType,TradeSide,PositionEffect,OptionType,UnoReceivedDt,StrategyType,PlatformType,CaptureProtocol
16,Paradigm Mastermind Group,GDDY,NULL,NULL,212.01,213.6,213.62,Stock,BUY,ToOpen,None,2/3/25 4:06 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C00215000,NULL,8.1,8.5,8.5,Option,BUY,ToOpen,CALL,2/3/25 4:06 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,208,212.5,212.5,Stock,BUY,ToOpen,None,2/5/25 8:23 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C002150000,NULL,0,0,0,Option,BUY,ToOpen,CALL,2/5/25 8:23 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C002150000,NULL,0,0,0,Option,BUY,ToOpen,CALL,2/5/25 8:44 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,208,212.5,212.5,Stock,BUY,ToOpen,None,2/5/25 9:25 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C002150000,NULL,0,0,0,Option,BUY,ToOpen,CALL,2/5/25 9:25 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,211.91,212.04,212.06,Stock,BUY,ToOpen,None,2/7/25 12:28 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C002150000,NULL,0,0,0,Option,BUY,ToOpen,CALL,2/7/25 12:28 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,209.82,211.95,211.97,Stock,BUY,ToOpen,None,2/7/25 2:59 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY25022100215000,NULL,0,0,0,Option,BUY,ToOpen,CALL,2/7/25 2:59 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,209.82,211.95,211.97,Stock,BUY,ToOpen,None,2/7/25 3:13 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C00215000,NULL,6.8,7.3,7.3,Option,BUY,ToOpen,CALL,2/7/25 3:14 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,209.82,211.95,211.97,Stock,BUY,ToOpen,None,2/7/25 3:20 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C00215000,NULL,6.8,7.3,7.3,Option,BUY,ToOpen,CALL,2/7/25 3:21 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,209.82,211.95,211.97,Stock,BUY,ToOpen,None,2/7/25 3:35 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C00215000,NULL,6.8,7.3,7.3,Option,BUY,ToOpen,CALL,2/7/25 3:36 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,209.82,211.95,211.97,Stock,BUY,ToOpen,None,2/8/25 6:10 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C00215000,NULL,6.8,7.3,7.3,Option,BUY,ToOpen,CALL,2/8/25 6:11 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
19,The Income Alliance,BABA,BABA250417C00100000,NULL,18.2,18.4,18.4,Option,BUY,ToOpen,CALL,2/11/25 7:42 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,201.1,206.5,206.5,Stock,BUY,ToOpen,None,2/11/25 2:40 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,201.1,208.09,208.11,Stock,BUY,ToOpen,None,2/11/25 4:34 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,201,207.26,207.28,Stock,BUY,ToOpen,None,2/11/25 4:53 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,GDDY,NULL,NULL,204.8,208.4,208.5,Stock,BUY,ToOpen,None,2/12/25 3:10 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,NULL,GDDY250221C00215000,NULL,4.2,4.8,4.9,Option,BUY,ToOpen,CALL,2/12/25 3:10 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,NULL,GDDY250221C00215000,NULL,4.2,4.8,4.9,Option,BUY,ToOpen,CALL,2/12/25 3:33 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,NULL,GDDY250221C00215000,NULL,4.2,4.8,4.9,Option,BUY,ToOpen,CALL,2/12/25 3:44 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,NULL,GDDY250221C00215000,NULL,4.2,4.8,4.9,Option,BUY,ToOpen,CALL,2/12/25 3:50 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,GDDY,NULL,NULL,208.6,208.84,198.417,Stock,BUY,ToOpen,None,2/13/25 9:17 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,NULL,GDDY250221C00215000,NULL,4.7,5,4.845,Option,BUY,ToOpen,CALL,2/13/25 9:17 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,NULL,GDDY250221C00215000,NULL,4.8,5.2,5.035,Option,BUY,ToOpen,CALL,2/13/25 10:58 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,NULL,GDDY250221C00215000,NULL,5.5,5.8,5.605,Option,BUY,ToOpen,CALL,2/13/25 11:31 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
13,NINGI Research,ODD,NULL,NULL,46.49,46.65,48.8145,Stock,SELL,ToOpen,Unknown,3/17/25 9:44 AM,StockActivistShort,Wordpress,RSS
18,Altuchers True Alpha,MRVL,MRVL250620C00060000,NULL,14.5,14.7,13.965,Option,BUY,ToOpen,CALL,3/17/25 11:29 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
18,Altuchers True Alpha,MRVL,MRVL250417C00075000 ,NULL,2.52,2.55,2.4415,Option,BUY,ToOpen,CALL,3/17/25 11:29 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
13,NINGI Research,ODD,NULL,NULL,45.19,45.43,47.376,Stock,SELL,ToOpen,Unknown,3/18/25 8:28 AM,StockActivistShort,Wordpress,RSS
13,NINGI Research,ODD,NULL,NULL,45.09,45.42,47.271,Stock,SELL,ToOpen,Unknown,3/18/25 8:33 AM,StockActivistShort,Wordpress,RSS
17,Microcap Millionaire,GDDY,NULL,NULL,178.12,178.46,169.5655,Stock,BUY,ToOpen,None,3/18/25 8:44 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
13,NINGI Research,ODD,NULL,NULL,43.77,44.14,45.885,Stock,SELL,ToOpen,Unknown,3/19/25 11:30 AM,StockActivistShort,Wordpress,RSS
22,Muddy Waters,FTAI,NULL,NULL,117,118,122.85,Stock,SELL,ToOpen,Unknown,3/25/25 8:54 PM,StockActivistShort,Wordpress,RSS
22,Muddy Waters,FTAI,NULL,NULL,114.4,115.05,120.12,Stock,SELL,ToOpen,Unknown,3/26/25 8:01 AM,StockActivistShort,Wordpress,RSS
25,Blue Orca,,NULL,NULL,0,0,0.0525,Stock,SELL,ToOpen,Unknown,3/26/25 10:46 AM,StockActivistShort,Wordpress,JSON
33,The Bear Cave,APP,NULL,NULL,274.3,274.67,287.973,Stock,SELL,ToOpen,Unknown,4/1/25 10:27 AM,StockActivistShort,Substack,WebScrapeEmbeddedJs
13,NINGI Research,ODD,NULL,NULL,44.05,44.25,43.95,Stock,SELL,ToOpen,Unknown,4/1/25 11:22 AM,StockActivistShort,Wordpress,RSS
33,The Bear Cave,KLC,NULL,NULL,11.51,11.57,11.47,Stock,SELL,ToOpen,Unknown,4/3/25 7:31 AM,StockActivistShort,Substack,WebScrapeEmbeddedJs
19,The Income Alliance,IBM,IBM250516C00200000,NULL,31,32.2,32,Option,BUY,ToOpen,CALL,4/7/25 10:32 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
19,The Income Alliance,GLD,GLD250516C00265000,NULL,0,0,0.02,Option,BUY,ToOpen,CALL,4/8/25 11:55 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,CTRI,NULL,NULL,16.26,16.4,16.43,Stock,BUY,ToOpen,None,4/9/25 10:31 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
19,The Income Alliance,GLD,GLD250516C00265000,NULL,0,0,0.02,Option,BUY,ToOpen,CALL,4/10/25 9:51 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
20,Ray Blancos Catalyst Trader,CYBN,NULL,NULL,5.22,5.39,5.42,Stock,BUY,ToOpen,None,4/10/25 11:56 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
19,The Income Alliance,CVNA,CVNA250516P00230000,NULL,39.05,41.55,41.6,Option,BUY,ToOpen,PUT,4/14/25 10:23 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,USAR,NULL,NULL,12.9,13.33,13.36,Stock,BUY,ToOpen,None,4/15/25 7:10 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
19,The Income Alliance,EFX,EFX250516P00250000,NULL,25.8,28.5,28.5,Option,BUY,ToOpen,PUT,4/15/25 11:30 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
33,The Bear Cave,TPVG,NULL,NULL,5.78,5.8,5.73,Stock,SELL,ToOpen,Unknown,4/17/25 7:31 AM,StockActivistShort,Substack,WebScrapeEmbeddedJs
19,The Income Alliance,GLD,GLD250620C00305000,NULL,0,0,0.02,Option,BUY,ToOpen,CALL,4/22/25 7:55 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
18,Altuchers True Alpha,PLTR,PLTR250620C00120000 ,NULL,7.35,7.5,7.55,Option,BUY,ToOpen,CALL,4/24/25 9:08 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,AMKR,NULL,NULL,17.22,17.23,17.24,Stock,BUY,ToOpen,None,4/30/25 11:26 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,TTI,NULL,NULL,3.43,3.44,3.45,Stock,BUY,ToOpen,None,6/11/25 7:36 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
20,Ray Blancos Catalyst Trader,GLXY,NULL,NULL,19.44,19.5,19.52,Stock,BUY,ToOpen,None,6/12/25 7:16 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
18,Altuchers True Alpha,SLAB,NULL,NULL,140.37,140.62,6,Stock,BUY,ToOpen,None,6/12/25 11:11 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
18,Altuchers True Alpha,VRT,VRT251219C00100000,NULL,30.45,30.85,30.9,Option,BUY,ToOpen,CALL,6/18/25 12:09 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
19,The Income Alliance,TSLA,TSLA250815P00350000,NULL,48.25,48.45,48.5,Option,BUY,ToOpen,PUT,6/20/25 9:11 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,NVTS,NULL,NULL,6.76,6.79,6.8,Stock,BUY,ToOpen,None,6/23/25 6:30 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
17,Microcap Millionaire,NULL,NVTS250718C00007000,NULL,0.1,1.9,1.95,Option,BUY,ToOpen,CALL,6/23/25 6:30 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
19,The Income Alliance,TWLO,TWLO250815C00105000,NULL,20,20.25,20.3,Option,BUY,ToOpen,CALL,6/24/25 11:27 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,OSCR,NULL,NULL,16.91,16.92,16.93,Stock,BUY,ToOpen,None,7/2/25 11:10 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,OSCR250711C00017000,NULL,0.95,1.05,1.05,Option,BUY,ToOpen,CALL,7/2/25 11:10 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,OSCR250711C00016500,NULL,1.2,1.25,1.3,Option,BUY,ToOpen,CALL,7/2/25 11:10 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
20,Ray Blancos Catalyst Trader,RVMD,NULL,NULL,37,39.7,39.7,Stock,BUY,ToOpen,None,7/3/25 6:28 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
20,Ray Blancos Catalyst Trader,NULL,RVMD250718C00040000,NULL,0,0,0,Option,BUY,ToOpen,CALL,7/3/25 6:28 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
20,Ray Blancos Catalyst Trader,NULL,RVMD250718C00039000,NULL,0,0,0,Option,BUY,ToOpen,CALL,7/3/25 6:28 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
19,The Income Alliance,LULU,LULU250919P00250000,NULL,28.8,29.85,29.9,Option,BUY,ToOpen,PUT,7/15/25 7:10 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
18,Altuchers True Alpha,QBTS,QBTS251017C00012000,NULL,4.85,4.95,5,Option,BUY,ToOpen,CALL,7/15/25 10:48 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
18,Altuchers True Alpha,QBTS,QBTS251017C00025000,NULL,1.03,1.06,1.08,Option,BUY,ToOpen,CALL,7/15/25 10:48 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
19,The Income Alliance,CSCO,CSCO250919C00062500,NULL,6.9,7,7,Option,BUY,ToOpen,CALL,7/17/25 8:34 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,TLN,NULL,NULL,323.1,323.5,110,Stock,BUY,ToOpen,None,7/18/25 9:56 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,NULL,TLN250725C00325000,NULL,13.2,14.6,14.6,Option,BUY,ToOpen,CALL,7/18/25 9:56 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,PWR,NULL,NULL,401.46,402.23,100,Stock,BUY,ToOpen,None,7/18/25 9:56 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,NULL,PWR250815C00400000,NULL,18.3,19.2,19.2,Option,BUY,ToOpen,CALL,7/18/25 9:56 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,PLMR,NULL,NULL,134.12,134.38,134.39,Stock,BUY,ToOpen,None,7/23/25 8:59 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,NULL,PLMR250815C00135000,NULL,4,8.5,8.5,Option,BUY,ToOpen,CALL,7/23/25 8:59 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
20,Ray Blancos Catalyst Trader,SANA,NULL,NULL,5.11,5.12,5.14,Stock,BUY,ToOpen,None,7/24/25 11:19 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
20,Ray Blancos Catalyst Trader,NULL,SANA250815C00005000,NULL,0.55,0.65,0.65,Option,BUY,ToOpen,CALL,7/24/25 11:19 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
18,Altuchers True Alpha,IOT,NULL,NULL,39.87,39.89,1.55,Stock,BUY,ToOpen,None,7/28/25 7:57 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
18,Altuchers True Alpha,NULL,IOT250801C00040000,NULL,0.75,0.85,0.85,Option,BUY,ToOpen,CALL,7/28/25 7:57 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
18,Altuchers True Alpha,NULL,IOT250801C00039000,NULL,1.25,1.5,1.55,Option,BUY,ToOpen,CALL,7/28/25 7:57 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,NVDA,NVDA251219P00145000,NULL,4.95,5,5.05,Option,BUY,ToOpen,PUT,7/30/25 6:49 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
36,Strategic Intelligence,RGLD,NULL,NULL,153.24,153.67,153.67,Stock,BUY,ToOpen,None,7/31/25 6:45 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,PM,NULL,NULL,166.31,166.5,166.51,Stock,BUY,ToOpen,None,8/6/25 7:27 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,NULL,PM250815C00167500,NULL,1.9,2.1,2.15,Option,BUY,ToOpen,CALL,8/6/25 7:27 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,NULL,PM250815C00165000,NULL,3.3,3.5,3.5,Option,BUY,ToOpen,CALL,8/6/25 7:27 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group, FLR,NULL,NULL,0,0,0.01,Stock,BUY,ToOpen,None,8/7/25 9:00 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,HNRG,NULL,NULL,18.63,18.76,18.77,Stock,BUY,ToOpen,None,8/7/25 9:00 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,HNRG250815C00019000,NULL,0,0,0,Option,BUY,ToOpen,CALL,8/7/25 9:00 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,USAR,NULL,NULL,13.37,13.4,13.41,Stock,BUY,ToOpen,None,8/7/25 9:00 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,USAR250815C00013500,NULL,1,1.25,1.3,Option,BUY,ToOpen,CALL,8/7/25 9:00 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,USAR250815C00013000,NULL,1.15,1.4,1.45,Option,BUY,ToOpen,CALL,8/7/25 9:00 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,KRKNF,NULL,NULL,0,0,0.01,Stock,BUY,ToOpen,None,8/7/25 9:00 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,SYM,NULL,NULL,53.67,53.87,53.88,Stock,BUY,ToOpen,None,8/7/25 9:00 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,SYM250815C00054000,NULL,2.4,2.65,2.7,Option,BUY,ToOpen,CALL,8/7/25 9:00 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,SYM250815C00052500,NULL,3.2,3.5,3.5,Option,BUY,ToOpen,CALL,8/7/25 9:00 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
19,The Income Alliance,COF,COF251017P00230000,NULL,22.3,23.1,23.1,Option,BUY,ToOpen,PUT,8/8/25 7:12 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,USAR,USAR260320C00020000,NULL,4,4.8,4.8,Option,BUY,ToOpen,CALL,8/12/25 11:35 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,FTNT,NULL,NULL,78.89,78.93,78.94,Stock,BUY,ToOpen,None,8/13/25 6:57 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,NULL,FTNT250822C00079000,NULL,1.59,1.68,1.69,Option,BUY,ToOpen,CALL,8/13/25 6:57 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
37,The Maverick,NULL,FTNT250822C00078500,NULL,1.85,2,2.05,Option,BUY,ToOpen,CALL,8/13/25 6:57 AM,ElmoStrategy,ElmoPlatform,ElmoCapture
